course_id,title,title_url,image,summary,rating,review,duration,no_of_lectures,level_course,author,course_card_rating,price
,"UX Methods Fundamentals
A short course that introduces you to 5 different methods and processes for doing User Experience workRating: 4.4 out of 5370 reviews39 total mins5 lecturesBeginner",https://www.udemy.com/course/ux-methods-fundamentals/,https://img-c.udemycdn.com/course/240x135/3443186_ae4d.jpg,A short course that introduces you to 5 different methods and processes for doing User Experience work,Rating: 4.4 out of 5,370 reviews,39 total mins,5 lectures,Beginner,"Susan Weinschenk, Ph.D.",-370,Free
,"Learn Canva & Canva Pro - Easiest Graphic Design Course 2023
Easiest Canva Course of 2022 - Canva and Canva Pro Graphic Design BootcampRating: 4.3 out of 5368 reviews1 total hour6 lecturesBeginner",https://www.udemy.com/course/learn-canva-canva-pro-easiest-graphic-design-course-2022/,https://img-c.udemycdn.com/course/240x135/4481730_56fc_4.jpg,Easiest Canva Course of 2022 - Canva and Canva Pro Graphic Design Bootcamp,Rating: 4.3 out of 5,368 reviews,1 total hour,6 lectures,Beginner,Haider Studio,-368,Free
,"3ds max making of subway train
First part of tutorial series about modeling and lighting subway train interiorRating: 4.2 out of 5366 reviews6.5 total hours46 lecturesIntermediate",https://www.udemy.com/course/3ds-max-making-of-subway-train/,https://img-c.udemycdn.com/course/240x135/788574_6826.jpg,First part of tutorial series about modeling and lighting subway train interior,Rating: 4.2 out of 5,366 reviews,6.5 total hours,46 lectures,Intermediate,Orkhan Akhmedli,-366,Free
,"Foundation for Digitally Sketching a Face
Accentuation of proper detailRating: 4.6 out of 5366 reviews42 total mins5 lecturesAll Levels",https://www.udemy.com/course/foundation-for-digitally-sketching-a-face/,https://img-c.udemycdn.com/course/240x135/1953380_f6ac_2.jpg,Accentuation of proper detail,Rating: 4.6 out of 5,366 reviews,42 total mins,5 lectures,All Levels,Chris Scalf,-366,Free
,"How to Make a WordPress Website for Businesses + BONUS!
Create an amazing business website for your small business using WordPress & DIY power. No programming skills needed!Rating: 4.4 out of 5366 reviews1.5 total hours19 lecturesBeginner",https://www.udemy.com/course/how-to-make-a-website-2018/,https://img-c.udemycdn.com/course/240x135/1582630_52eb.jpg,Create an amazing business website for your small business using WordPress & DIY power. No programming skills needed!,Rating: 4.4 out of 5,366 reviews,1.5 total hours,19 lectures,Beginner,Chris Heidlebaugh ❤,-366,Free
,"Getting Started with Canva: Design like a Pro!
Brand yourself the easy way!Rating: 4.3 out of 5358 reviews31 total mins10 lecturesAll Levels",https://www.udemy.com/course/canva-design/,https://img-c.udemycdn.com/course/240x135/2116906_573a.jpg,Brand yourself the easy way!,Rating: 4.3 out of 5,358 reviews,31 total mins,10 lectures,All Levels,Andrew Magdy Kamal,-358,Free
,"Front End Web Design using WYSIWYG Web Builder like a pro
​Launch a career as a web designer by learning How to use WYSIWYG Web Builder to build professional websites.Rating: 4.5 out of 5352 reviews3 total hours40 lecturesBeginner",https://www.udemy.com/course/wysiwyg-web-builder-essential-training/,https://img-c.udemycdn.com/course/240x135/828610_3260_3.jpg,​Launch a career as a web designer by learning How to use WYSIWYG Web Builder to build professional websites.,Rating: 4.5 out of 5,352 reviews,3 total hours,40 lectures,Beginner,Ishmeal Lamptey,-352,Free
,"Pixologics ZBrush 2019 The Basics FREE COURSE
Learn the very basics of ZBrush so you can confidently follow coursesRating: 4.1 out of 5351 reviews2 total hours10 lecturesBeginner",https://www.udemy.com/course/pixologics-zbrush-2019-the-basics-free-course/,https://img-c.udemycdn.com/course/240x135/2264838_fa71.jpg,Learn the very basics of ZBrush so you can confidently follow courses,Rating: 4.1 out of 5,351 reviews,2 total hours,10 lectures,Beginner,David Newton,-351,Free
,"One Page WordPress Website For Beginners
Learn How to Make a Single Page WordPress Website With a Free WordPress ThemeRating: 4.0 out of 5346 reviews1.5 total hours15 lecturesAll Levels",https://www.udemy.com/course/one-page-wordpress-website-for-beginners/,https://img-c.udemycdn.com/course/240x135/1049332_1ba9_4.jpg,Learn How to Make a Single Page WordPress Website With a Free WordPress Theme,Rating: 4.0 out of 5,346 reviews,1.5 total hours,15 lectures,All Levels,Tom Johnson,-346,Free
,"Model and Present a 3d Drone using Maya and Keyshot
Learn the pipeline for modeling this drone asset - as well as an intro to lighting and rendering it using KeyShot!Rating: 4.6 out of 5346 reviews2.5 total hours22 lecturesIntermediate",https://www.udemy.com/course/3dmotive-model-and-present-a-3d-drone-using-maya-and-keyshot/,https://img-c.udemycdn.com/course/240x135/330156_0ae2.jpg,Learn the pipeline for modeling this drone asset - as well as an intro to lighting and rendering it using KeyShot!,Rating: 4.6 out of 5,346 reviews,2.5 total hours,22 lectures,Intermediate,3dmotive LLC,-346,Free
,"VFX Basics: Moving from After Effects to Nuke
Step-by-step guide to transitioning your visual effects compositing skills from After Effects to Nuke.Rating: 4.4 out of 5343 reviews1.5 total hours16 lecturesBeginner",https://www.udemy.com/course/vfx-basics-moving-from-after-effects-to-nuke/,https://img-c.udemycdn.com/course/240x135/1396462_cd1d_3.jpg,Step-by-step guide to transitioning your visual effects compositing skills from After Effects to Nuke.,Rating: 4.4 out of 5,343 reviews,1.5 total hours,16 lectures,Beginner,Vicki Lau,-343,Free
,"Design your Garden using SketchUp
An effective guide to create amazing 3D garden designs for yourself or for your clients.Rating: 3.9 out of 5337 reviews2 total hours21 lecturesAll Levels",https://www.udemy.com/course/design-your-garden-using-sketchup/,https://img-c.udemycdn.com/course/240x135/826330_5ca2_2.jpg,An effective guide to create amazing 3D garden designs for yourself or for your clients.,Rating: 3.9 out of 5,337 reviews,2 total hours,21 lectures,All Levels,Daniel Moreno,-337,Free
,"Introduction to KeyShot for Digital 3d Rendering
Learn to unleash the potential of this powerful 3d rendering software to make your 3d assets shine!Rating: 4.3 out of 5328 reviews1 total hour6 lecturesIntermediate",https://www.udemy.com/course/3dmotive-introduction-to-keyshot/,https://img-c.udemycdn.com/course/240x135/441754_2edb.jpg,Learn to unleash the potential of this powerful 3d rendering software to make your 3d assets shine!,Rating: 4.3 out of 5,328 reviews,1 total hour,6 lectures,Intermediate,3dmotive LLC,-328,Free
,"Getting Into Maya 2017
Beginners Guide to Maya 2017Rating: 4.0 out of 5325 reviews1 total hour11 lecturesBeginner",https://www.udemy.com/course/getting-into-maya-2017/,https://img-c.udemycdn.com/course/240x135/917732_9fc6_5.jpg,Beginners Guide to Maya 2017,Rating: 4.0 out of 5,325 reviews,1 total hour,11 lectures,Beginner,John Stopforth,-325,Free
,"Create a 3D character in Blender from scratch
Step by step guide to model a 3D character and texture itRating: 4.0 out of 5321 reviews1.5 total hours8 lecturesBeginner",https://www.udemy.com/course/create-a-3d-character-in-blender/,https://img-c.udemycdn.com/course/240x135/3319164_ebd9.jpg,Step by step guide to model a 3D character and texture it,Rating: 4.0 out of 5,321 reviews,1.5 total hours,8 lectures,Beginner,Raymond Gabriel,-321,Free
,"Create Images, Videos And Presentations with Adobe Spark
How to use Adobe Spark to create Amazing Videos, Presentations and Social Media Posts in less than 10 minutes!Rating: 4.5 out of 5310 reviews1 total hour8 lecturesAll Levels",https://www.udemy.com/course/create-images-videos-and-presentations-with-adobe-spark/,https://img-c.udemycdn.com/course/240x135/1033584_0f34.jpg,"How to use Adobe Spark to create Amazing Videos, Presentations and Social Media Posts in less than 10 minutes!",Rating: 4.5 out of 5,310 reviews,1 total hour,8 lectures,All Levels,Sorin Constantin,-310,Free
,"Learn Magica Voxel - Create 3D Game Models For Unity3D
Use Magica Voxel to create amazing 3D models for video games , to sell , 3D world , etc. No prior knowledge required.Rating: 4.5 out of 5309 reviews2 total hours16 lecturesBeginner",https://www.udemy.com/course/learn-magica-voxel-create-3d-game-models-for-unity3d/,https://img-c.udemycdn.com/course/240x135/1152486_f9ce.jpg,"Use Magica Voxel to create amazing 3D models for video games , to sell , 3D world , etc. No prior knowledge required.",Rating: 4.5 out of 5,309 reviews,2 total hours,16 lectures,Beginner,Swapnil Rane,-309,Free
,"Cooling Buildings Thoughtfully
Learn the principles of passive cooling design and use it as a teaching tool.Rating: 4.2 out of 5304 reviews8.5 total hours22 lecturesBeginner",https://www.udemy.com/course/cooling-buildings-thoughtfully/,https://img-c.udemycdn.com/course/240x135/520214_d430_2.jpg,Learn the principles of passive cooling design and use it as a teaching tool.,Rating: 4.2 out of 5,304 reviews,8.5 total hours,22 lectures,Beginner,"Deepa Parekh, Prachi Sharad Bhujbal",-304,Free
,"How To Build a Website With WordPress...Fast! [Beginners]
How To Build A Website With WordPress in Less Than 4 Hours (Kent Mauresmo)Rating: 4.4 out of 5300 reviews1.5 total hours12 lecturesBeginner",https://www.udemy.com/course/how-to-build-a-website-with-wordpress-fast/,https://img-c.udemycdn.com/course/240x135/807696_548b_2.jpg,How To Build A Website With WordPress in Less Than 4 Hours (Kent Mauresmo),Rating: 4.4 out of 5,300 reviews,1.5 total hours,12 lectures,Beginner,Kent Mauresmo,-300,Free
,"Create a Rowboat Mechanism Using Siemens Solid Edge
Mechanical Design - Learn How to Create and 3D Print a Prototype Rowboat Using Siemens Solid EdgeRating: 4.5 out of 5299 reviews37 total mins38 lecturesExpert",https://www.udemy.com/course/rowboatmechanism/,https://img-c.udemycdn.com/course/240x135/985218_6b3e_2.jpg,Mechanical Design - Learn How to Create and 3D Print a Prototype Rowboat Using Siemens Solid Edge,Rating: 4.5 out of 5,299 reviews,37 total mins,38 lectures,Expert,John Devitry,-299,Free
,"Fiber Optics Network Design and Maintenance
Design and MaintenanceRating: 4.4 out of 5299 reviews2 total hours10 lecturesBeginner",https://www.udemy.com/course/fiber-optics-network-design-and-maintenance/,https://img-c.udemycdn.com/course/240x135/3710264_1ea8_4.jpg,Design and Maintenance,Rating: 4.4 out of 5,299 reviews,2 total hours,10 lectures,Beginner,Prof. Dr. Sunita A Patil (Ugale),-299,Free
,"Intro to using Google Slides
The first step to becoming a Google Slides proRating: 4.6 out of 5296 reviews1 total hour6 lecturesBeginner",https://www.udemy.com/course/intro-to-google-slides/,https://img-c.udemycdn.com/course/240x135/2337930_3e8c.jpg,The first step to becoming a Google Slides pro,Rating: 4.6 out of 5,296 reviews,1 total hour,6 lectures,Beginner,Jason Trueblood Trueblood,-296,Free
,"Adobe Illustrator 2022 - Beginners Edition
This course will learn you how to create shapes using Adobe Illustrator 2022.Rating: 4.3 out of 5293 reviews1 total hour40 lecturesBeginner",https://www.udemy.com/course/adobe-illustrator-2021-beginners-edition/,https://img-c.udemycdn.com/course/240x135/3708980_5ff8_3.jpg,This course will learn you how to create shapes using Adobe Illustrator 2022.,Rating: 4.3 out of 5,293 reviews,1 total hour,40 lectures,Beginner,Joel Rovers,-293,Free
,"Advance Architectural & Structural Design Drawing Reading
Master Architecture & Structural Design Drawing with concepts of Civil Engineering & Building ConstructionRating: 4.6 out of 5288 reviews2 total hours9 lecturesAll Levels",https://www.udemy.com/course/advance-architectural-structural-design-drawing-reading/,https://img-c.udemycdn.com/course/240x135/4650012_0940.jpg,Master Architecture &  Structural Design Drawing with concepts of Civil Engineering & Building Construction,Rating: 4.6 out of 5,288 reviews,2 total hours,9 lectures,All Levels,Akshay Kamath,-288,Free
,"Photoshop for beginners
This Photoshop for beginners course is perfect for those with no experience with PhotoshopRating: 4.4 out of 5285 reviews2 total hours17 lecturesBeginner",https://www.udemy.com/course/photoshop-for-beginners-adobe-photoshop-cc/,https://img-c.udemycdn.com/course/240x135/2527642_b01f.jpg,This Photoshop for beginners course is perfect for those with no experience with Photoshop,Rating: 4.4 out of 5,285 reviews,2 total hours,17 lectures,Beginner,Chris Parker,-285,Free
,"Learn to Make Animated Presentations with Avatars
Create professionally animated presentations & marketing videos by quickly animating comic and photo-realistic avatars.Rating: 4.1 out of 5279 reviews4.5 total hours17 lecturesAll Levels",https://www.udemy.com/course/learn-to-make-animated-presentations-with-avatars/,https://img-c.udemycdn.com/course/240x135/270706_7d6c_3.jpg,Create professionally animated presentations & marketing videos by quickly animating comic and photo-realistic avatars.,Rating: 4.1 out of 5,279 reviews,4.5 total hours,17 lectures,All Levels,Reallusion Inc,-279,Free
,"Concept Art Portfolio Boost
Essential practices for digital art portfoliosRating: 4.7 out of 5270 reviews33 total mins9 lecturesBeginner",https://www.udemy.com/course/portfolio-boost/,https://img-c.udemycdn.com/course/240x135/4394964_2c3c_2.jpg,Essential practices for digital art portfolios,Rating: 4.7 out of 5,270 reviews,33 total mins,9 lectures,Beginner,Hardy Fowler,-270,Free
,"How to Create a Personal Academic Website
This is a step-by-step guide on how to create a personal academic website. Good for PhD students, postdocs, and profsRating: 4.4 out of 5267 reviews25 total mins6 lecturesBeginner",https://www.udemy.com/course/how-to-create-a-personal-academic-website-in-10-minutes/,https://img-c.udemycdn.com/course/240x135/440326_d9c9_3.jpg,"This is a step-by-step guide on how to create a personal academic website. Good for PhD students, postdocs, and profs",Rating: 4.4 out of 5,267 reviews,25 total mins,6 lectures,Beginner,Michael Rank,-267,Free
,"Learn Sheet Metal Design
Complete and Automated Sheet Metal Design in Solid EdgeRating: 4.8 out of 5265 reviews3 total hours50 lecturesIntermediate",https://www.udemy.com/course/sheetmetal/,https://img-c.udemycdn.com/course/240x135/1970094_1b8f.jpg,Complete and Automated Sheet Metal Design in Solid Edge,Rating: 4.8 out of 5,265 reviews,3 total hours,50 lectures,Intermediate,John Devitry,-265,Free
,"Fashion Drawing Course - Sample Lessons
Fashion Drawing Course From Beginner to Advenced Sample LessonsRating: 4.3 out of 5265 reviews2 total hours9 lecturesBeginner",https://www.udemy.com/course/fashion-drawing-course-sample-lessons/,https://img-c.udemycdn.com/course/240x135/4468256_f8cf.jpg,Fashion Drawing Course From Beginner to Advenced  Sample Lessons,Rating: 4.3 out of 5,265 reviews,2 total hours,9 lectures,Beginner,Start Now Fashion,-265,Free
,"Learn to Render AutoCAD Floor Plan in Adobe Photoshop.
Step by step process to learn 2D Floor Plan Rendering.Rating: 4.5 out of 5261 reviews30 total mins14 lecturesAll Levels",https://www.udemy.com/course/learn-to-render-autocad-floor-plan-in-adobe-photoshop/,https://img-c.udemycdn.com/course/240x135/3173836_e3e7.jpg,Step by step process to learn 2D Floor Plan Rendering.,Rating: 4.5 out of 5,261 reviews,30 total mins,14 lectures,All Levels,Neetu Bhardwaj,-261,Free
,"CSS beginner Easy way to Get started with better web design
Easy to follow Guide for CSS Beginners, learn how to use CSS the right way step by step learning to apply CSS designRating: 4.2 out of 5257 reviews1.5 total hours14 lecturesBeginner",https://www.udemy.com/course/introduction-to-css-beginners-guide-to-css-web-design/,https://img-c.udemycdn.com/course/240x135/629084_2639.jpg,"Easy to follow Guide for CSS Beginners, learn how to use CSS the right way step by step learning to apply CSS design",Rating: 4.2 out of 5,257 reviews,1.5 total hours,14 lectures,Beginner,Laurence Svekis,-257,Free
,"Creating Your First Game in Unreal Engine 5
Learn to create your first game in Unreal Engine 5 using BlueprintsRating: 4.5 out of 5257 reviews1 total hour13 lecturesBeginner",https://www.udemy.com/course/creating-your-first-game-in-unreal-engine-5/,https://img-c.udemycdn.com/course/240x135/4581130_ec38_2.jpg,Learn to create your first game in Unreal Engine 5 using Blueprints,Rating: 4.5 out of 5,257 reviews,1 total hour,13 lectures,Beginner,UNF Games,-257,Free
,"Learn blog writing quickly and start freelancing!
Learn each step and sub step of content writing with examples and find writing tasks.Rating: 3.8 out of 5255 reviews32 total mins10 lecturesAll Levels",https://www.udemy.com/course/learn-blog-writing-quickly-and-start-freelancing-in-india/,https://img-c.udemycdn.com/course/240x135/4257866_162b.jpg,Learn each step and sub step of content writing with examples and find writing tasks.,Rating: 3.8 out of 5,255 reviews,32 total mins,10 lectures,All Levels,Praharsh Chaubey,-255,Free
,"Level up your VFX! Go from After Effects and Learn Nuke
Learn VFX Compositing in Nuke the easy way. Made for people who have experience in After Effects or Photoshop!Rating: 4.6 out of 5254 reviews1 total hour14 lecturesBeginner",https://www.udemy.com/course/level-up-transitioning-from-after-effects-and-learning-nuke/,https://img-c.udemycdn.com/course/240x135/3162218_62c9_4.jpg,Learn VFX Compositing in Nuke the easy way.  Made for people who have experience in After Effects or Photoshop!,Rating: 4.6 out of 5,254 reviews,1 total hour,14 lectures,Beginner,Alexander Hanneman,-254,Free
,"Creative Sport Retouch - Create Dynamic Images in Photoshop!
Learn how to Create Stunning Dynamic Images with no Experience and Basic Knowledge in Photoshop!Rating: 4.4 out of 5254 reviews1 total hour10 lecturesAll Levels",https://www.udemy.com/course/creative-sport-retouch-create-dynamic-images-in-photoshop/,https://img-c.udemycdn.com/course/240x135/389956_f648_2.jpg,Learn how to Create Stunning Dynamic Images with no Experience and Basic Knowledge in Photoshop!,Rating: 4.4 out of 5,254 reviews,1 total hour,10 lectures,All Levels,Marcin Mikus,-254,Free
,"Puppet Pin Rigging in After Effects
Animate 2D cartoon characters in After Effects!Rating: 4.6 out of 5251 reviews1.5 total hours16 lecturesBeginner",https://www.udemy.com/course/puppet-pin-rigging-in-after-effects/,https://img-c.udemycdn.com/course/240x135/1955738_f8e0_4.jpg,Animate 2D cartoon characters in After Effects!,Rating: 4.6 out of 5,251 reviews,1.5 total hours,16 lectures,Beginner,Chad Troftgruben,-251,Free
,"Build A WordPress Website in One Afternoon! (Step by Step)
Learn How To Use WordPress for FREE in 1 Afternoon!Rating: 4.2 out of 5249 reviews1 total hour17 lecturesAll Levels",https://www.udemy.com/course/build-a-wordpress-website-in-one-afternoon/,https://img-c.udemycdn.com/course/240x135/831888_cd02_3.jpg,Learn How To Use WordPress for FREE in 1 Afternoon!,Rating: 4.2 out of 5,249 reviews,1 total hour,17 lectures,All Levels,Martie (Let's Build WordPress),-249,Free
,"E-Z Photoshop Techniques for Social Media Marketing
Graphic design tools & techniques to create stunningly attractive images for social media marketing.Rating: 4.4 out of 5248 reviews1 total hour7 lecturesBeginner",https://www.udemy.com/course/e-z-photoshop-techniques/,https://img-c.udemycdn.com/course/240x135/259002_bee7_12.jpg,Graphic design tools & techniques to create stunningly attractive images for social media marketing.,Rating: 4.4 out of 5,248 reviews,1 total hour,7 lectures,Beginner,Jeff Zahorsky,-248,Free
,"SVG basics for beginners - concepts explained with examples
Create awesome 2D vector graphics with SVG (code) + HTML - over-the-shoulder training with detailed examples per lessonRating: 4.5 out of 5245 reviews1.5 total hours14 lecturesBeginner",https://www.udemy.com/course/svg-basics-for-beginners-concepts-explained-with-examples/,https://img-c.udemycdn.com/course/240x135/1572756_a6ef.jpg,Create awesome 2D vector graphics with SVG (code) + HTML - over-the-shoulder training with detailed examples per lesson,Rating: 4.5 out of 5,245 reviews,1.5 total hours,14 lectures,Beginner,DigiFisk (Programming is fun),-245,Free
,"1-Hour Wordpress Basic Tutorial
Learn how to use the world's most popular blogging platform on your own domain name in just 1-Hour.Rating: 4.4 out of 5242 reviews1 total hour7 lecturesAll Levels",https://www.udemy.com/course/1-hour-wordpress-basic-tutorial/,https://img-c.udemycdn.com/course/240x135/508736_ed3a_3.jpg,Learn how to use the world's most popular blogging platform on your own domain name in just 1-Hour.,Rating: 4.4 out of 5,242 reviews,1 total hour,7 lectures,All Levels,Victory Online Group LLC,-242,Free
,"Wordpress Easy Step By Step
From beginner to intermediate to build an seo friendly and successful new website or blogRating: 3.9 out of 5240 reviews1 total hour12 lecturesAll Levels",https://www.udemy.com/course/wordpress-easy-step-by-step/,https://img-c.udemycdn.com/course/240x135/54898_bdf8_5.jpg,From beginner to intermediate to build an seo friendly and successful new website or blog,Rating: 3.9 out of 5,240 reviews,1 total hour,12 lectures,All Levels,Susan Newman,-240,Free
,"Which Animation Software is Right For You?
A quick overview of Moho, Animate, After Effects and Character AnimatorRating: 4.9 out of 5239 reviews1 total hour7 lecturesBeginner",https://www.udemy.com/course/which-animation-software-is-right-for-you/,https://img-c.udemycdn.com/course/240x135/3092990_c32b.jpg,"A quick overview of Moho, Animate, After Effects and Character Animator",Rating: 4.9 out of 5,239 reviews,1 total hour,7 lectures,Beginner,Chad Troftgruben,-239,Free
,"Adobe Illustrator-CC Logo & Graphic Design Crash Course
Introduction To Graphic DesignRating: 4.7 out of 5238 reviews1 total hour17 lecturesBeginner",https://www.udemy.com/course/graphicdesign_crashcourse/,https://img-c.udemycdn.com/course/240x135/4000896_f50d_2.jpg,Introduction To Graphic Design,Rating: 4.7 out of 5,238 reviews,1 total hour,17 lectures,Beginner,Rahsaan Boone,-238,Free
,"A beginner's guide to creating artwork for 2D video games
Discover how easy it is to make graphics for 2D video gamesRating: 4.3 out of 5238 reviews2 total hours54 lecturesBeginner",https://www.udemy.com/course/a-beginners-guide-to-creating-artwork-for-2d-video-games/,https://img-c.udemycdn.com/course/240x135/1745212_eaeb.jpg,Discover how easy it is to make graphics for 2D video games,Rating: 4.3 out of 5,238 reviews,2 total hours,54 lectures,Beginner,Pete Jepson,-238,Free
,"Making a full Social Media Campaign with Canva
Follow my lead or be creative!Rating: 4.5 out of 5237 reviews39 total mins9 lecturesBeginner",https://www.udemy.com/course/making-a-full-social-media-campaign-with-canva/,https://img-c.udemycdn.com/course/240x135/3662110_d779_2.jpg,Follow my lead or be creative!,Rating: 4.5 out of 5,237 reviews,39 total mins,9 lectures,Beginner,Kim Raes,-237,Free
,"How to Make a WordPress Website
WordPress Beginners - Learn How to Make a WordPress Website in 2017 Using a Free Theme!Rating: 3.8 out of 5235 reviews2 total hours15 lecturesBeginner",https://www.udemy.com/course/how-to-make-a-wordpress-website-in-2017/,https://img-c.udemycdn.com/course/240x135/1058540_651e_2.jpg,WordPress Beginners - Learn How to Make a WordPress Website in 2017 Using a Free Theme!,Rating: 3.8 out of 5,235 reviews,2 total hours,15 lectures,Beginner,Tom Johnson,-235,Free
,"Paint and Roto for Feature Film VFX 01
Marker Removal in NukeRating: 4.8 out of 5235 reviews2.5 total hours16 lecturesAll Levels",https://www.udemy.com/course/paint-and-roto-for-feature-film-vfx/,https://img-c.udemycdn.com/course/240x135/1670882_22d3_6.jpg,Marker Removal in Nuke,Rating: 4.8 out of 5,235 reviews,2.5 total hours,16 lectures,All Levels,Michael North,-235,Free
,"Desktop Publishing for You
Designing in a simple wayRating: 4.2 out of 5234 reviews2 total hours236 lecturesBeginner",https://www.udemy.com/course/desktop-publishing-for-you/,https://img-c.udemycdn.com/course/240x135/1883322_dc81.jpg,Designing in a simple way,Rating: 4.2 out of 5,234 reviews,2 total hours,236 lectures,Beginner,MKCL India,-234,Free
,"Photoshop Tips and Tricks
Speed up your performance & take your Photoshop skill to the next level by learning the hidden features inside PhotoshopRating: 3.8 out of 5234 reviews1.5 total hours48 lecturesAll Levels",https://www.udemy.com/course/photoshop-tips-and-tricks-youssef-zidan/,https://img-c.udemycdn.com/course/240x135/1304966_6bfb_3.jpg,Speed up your performance & take your Photoshop skill to the next level by learning the hidden features inside Photoshop,Rating: 3.8 out of 5,234 reviews,1.5 total hours,48 lectures,All Levels,Youssef Zidan,-234,Free
,"Python Tkinter for making Graphical User Interface
BEST COURSE FOR LEARNING TKINTERRating: 4.6 out of 5229 reviews43 total mins5 lecturesAll Levels",https://www.udemy.com/course/python-tkinter-for-making-graphical-user-interface/,https://img-c.udemycdn.com/course/240x135/3103562_ed20.jpg,BEST COURSE FOR LEARNING TKINTER,Rating: 4.6 out of 5,229 reviews,43 total mins,5 lectures,All Levels,Aryan Dawer,-229,Free
,"How To Build A WordPress Website for Beginners
Build An Awesome WordPress Website (with a Blog) in Under 2 Hours!Rating: 4.5 out of 5228 reviews1 total hour16 lecturesAll Levels",https://www.udemy.com/course/how-to-build-a-wordpress-website-for-beginners/,https://img-c.udemycdn.com/course/240x135/914220_79a7_3.jpg,Build An Awesome WordPress Website (with a Blog) in Under 2 Hours!,Rating: 4.5 out of 5,228 reviews,1 total hour,16 lectures,All Levels,Martie (Let's Build WordPress),-228,Free
,"Design and Animate a Vintage Badge in After Effects
A Project-Based walk thru on creating and animating a vintage badge, finished with snow and sound effects!Rating: 4.6 out of 5228 reviews5 total hours37 lecturesAll Levels",https://www.udemy.com/course/design-and-animate-a-vintage-badge-in-after-effects/,https://img-c.udemycdn.com/course/240x135/1006520_899d.jpg,"A Project-Based walk thru on creating and animating a vintage badge, finished with snow and sound effects!",Rating: 4.6 out of 5,228 reviews,5 total hours,37 lectures,All Levels,Andre Angelo,-228,Free
,"Learn Autocad basics from projects
Project of Garden Design 2D /3DRating: 4.0 out of 5227 reviews1 total hour13 lecturesAll Levels",https://www.udemy.com/course/learn-autocad-basics-from-projects/,https://img-c.udemycdn.com/course/240x135/2130786_926b_3.jpg,Project  of Garden Design 2D /3D,Rating: 4.0 out of 5,227 reviews,1 total hour,13 lectures,All Levels,ouissale EL Ansari,-227,Free
,"Midjourney 101: Unleash AI for Unique Image Generation
Unlock Your Creativity with Midjourney: AI-Driven Image Design for Beginners. Midjourney + ChatGPT + AI Art generation.Rating: 4.6 out of 5225 reviews1 total hour11 lecturesBeginner",https://www.udemy.com/course/midjourney-images/,https://img-c.udemycdn.com/course/240x135/5239842_57d2_3.jpg,Unlock Your Creativity with Midjourney: AI-Driven Image Design for Beginners. Midjourney + ChatGPT + AI Art generation.,Rating: 4.6 out of 5,225 reviews,1 total hour,11 lectures,Beginner,"Diego Davila • 800.000+ Students, Backyard Courses",-225,Free
,"Drawing Cute Pets in Procreate | Kitten and Puppy
Learn to draw Cute Characters in Six Easy Steps like a Pro. Step by Step Demo from Basic sketch to Final Render.Rating: 4.3 out of 5226 reviews1 total hour5 lecturesAll Levels",https://www.udemy.com/course/drawing-cute-pets-in-procreate-kitten-and-puppy-r/,https://img-c.udemycdn.com/course/240x135/2810663_1ac8_2.jpg,Learn to draw Cute Characters in Six Easy Steps like a Pro. Step by Step Demo from Basic sketch to Final Render.,Rating: 4.3 out of 5,226 reviews,1 total hour,5 lectures,All Levels,Prince Rajasekar,-226,Free
,"Manage Quality Assurance in Textile and Fashion Industry
Manage Quality Assurance in Textile and Fashion IndustryRating: 4.4 out of 5223 reviews32 total mins8 lecturesBeginner",https://www.udemy.com/course/manage-quality-assurance/,https://img-c.udemycdn.com/course/240x135/1910246_0711.jpg,Manage Quality Assurance in Textile and Fashion Industry,Rating: 4.4 out of 5,223 reviews,32 total mins,8 lectures,Beginner,TaF.tc Textile and Fashion Industry Training Centre Pte Ltd,-223,Free
,"Basics of Adobe Photoshop cc
Adobe Photoshop for BeginnerRating: 3.9 out of 5222 reviews1 total hour11 lecturesBeginner",https://www.udemy.com/course/basics-of-adobe-photoshop-cc-2020/,https://img-c.udemycdn.com/course/240x135/3424794_4069_3.jpg,Adobe Photoshop for Beginner,Rating: 3.9 out of 5,222 reviews,1 total hour,11 lectures,Beginner,Mr Johnny,-222,Free
,"Canva mini tutorials
Create fun graphics using these 8 tutorials and featuresRating: 4.4 out of 5222 reviews34 total mins8 lecturesBeginner",https://www.udemy.com/course/canva-mini-tutorials/,https://img-c.udemycdn.com/course/240x135/3145122_d56b_3.jpg,Create fun graphics using these 8 tutorials and features,Rating: 4.4 out of 5,222 reviews,34 total mins,8 lectures,Beginner,Laura Goodsell,-222,Free
,"Photoshop Tutorial, Easy and Fun!
The most useful tools and techniques in Photoshop. After this, you need a little bit of creativity to make art happens.Rating: 3.8 out of 5221 reviews4 total hours20 lecturesBeginner",https://www.udemy.com/course/photoshop-tutorial-easy-and-fun/,https://img-c.udemycdn.com/course/240x135/1991218_859c.jpg,"The most useful tools and techniques in Photoshop. After this, you need a little bit of creativity to make art happens.",Rating: 3.8 out of 5,221 reviews,4 total hours,20 lectures,Beginner,"Hossein Farsaei, Parisa Falakdin",-221,Free
